Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_07_Autoplaced_BNI_KartuKredit,Chrome 65.0.3302.0,,2018-10-11 10:50:56,2018-10-11 10:51:23,26.745s,PASSED
,,,,,,
Test Cases/01_Member/Login Mobile,Chrome 65.0.3302.0,,2018-10-11 10:50:57,2018-10-11 10:51:19,22.007s,PASSED
openBrowser,Chrome 65.0.3302.0,,2018-10-11 10:50:57,2018-10-11 10:51:00,3.179s,PASSED
navigateToUrl,Chrome 65.0.3302.0,,2018-10-11 10:51:00,2018-10-11 10:51:02,1.510s,PASSED
setText,Chrome 65.0.3302.0,,2018-10-11 10:51:02,2018-10-11 10:51:02,0.223s,PASSED
setText,Chrome 65.0.3302.0,,2018-10-11 10:51:02,2018-10-11 10:51:02,0.158s,PASSED
click,Chrome 65.0.3302.0,,2018-10-11 10:51:02,2018-10-11 10:51:06,3.792s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-11 10:51:06,2018-10-11 10:51:08,2.033s,PASSED
navigateToUrl,Chrome 65.0.3302.0,,2018-10-11 10:51:08,2018-10-11 10:51:10,2.350s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-11 10:51:10,2018-10-11 10:51:12,2.004s,PASSED
setText,Chrome 65.0.3302.0,,2018-10-11 10:51:12,2018-10-11 10:51:13,0.181s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-11 10:51:13,2018-10-11 10:51:15,2.004s,PASSED
click,Chrome 65.0.3302.0,,2018-10-11 10:51:15,2018-10-11 10:51:15,0.126s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-11 10:51:15,2018-10-11 10:51:16,1.002s,PASSED
click,Chrome 65.0.3302.0,,2018-10-11 10:51:16,2018-10-11 10:51:16,0.109s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-11 10:51:16,2018-10-11 10:51:17,1.004s,PASSED
click,Chrome 65.0.3302.0,,2018-10-11 10:51:17,2018-10-11 10:51:18,0.758s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-11 10:51:18,2018-10-11 10:51:19,1.002s,PASSED
,,,,,,
Test Cases/02_ChooseMethodPaymentMobilePulsa/TC_07_ChooseMethodPayment_BNI_KartuKredit,Chrome 65.0.3302.0,,2018-10-11 10:51:19,2018-10-11 10:51:20,1.599s,PASSED
click,Chrome 65.0.3302.0,,2018-10-11 10:51:19,2018-10-11 10:51:19,0.110s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-11 10:51:19,2018-10-11 10:51:20,1.004s,PASSED
click,Chrome 65.0.3302.0,,2018-10-11 10:51:20,2018-10-11 10:51:20,0.237s,PASSED
blj.common.report.Autoplaced.AppendToBlanjaAutoplacedReport,Chrome 65.0.3302.0,,2018-10-11 10:51:20,2018-10-11 10:51:20,0.045s,PASSED
,,,,,,
Test Cases/02_ChooseMethodPaymentMobilePulsa/TC_ClickCheckout_GetLastOrderID_ExportTo_Blanja_Autoplaced,Chrome 65.0.3302.0,,2018-10-11 10:51:20,2018-10-11 10:51:22,1.979s,PASSED
click,Chrome 65.0.3302.0,,2018-10-11 10:51:21,2018-10-11 10:51:21,0.119s,PASSED
navigateToUrl,Chrome 65.0.3302.0,,2018-10-11 10:51:21,2018-10-11 10:51:21,0.464s,PASSED
"Statement - orderNumber = "" - "" + com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Member_BlanjaanSaya/Label_FirstOrderNumber))",Chrome 65.0.3302.0,,2018-10-11 10:51:21,2018-10-11 10:51:22,1.133s,PASSED
blj.common.report.Autoplaced.AppendToBlanjaAutoplacedReport,Chrome 65.0.3302.0,,2018-10-11 10:51:22,2018-10-11 10:51:22,0.011s,PASSED
blj.common.report.Autoplaced.AppendToBlanjaAutoplacedReport,Chrome 65.0.3302.0,,2018-10-11 10:51:22,2018-10-11 10:51:22,0.013s,PASSED
