Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_08_Autoplaced_BNI_SMSPayment,Chrome 65.0.3302.0,,2018-10-11 11:01:04,2018-10-11 11:01:29,24.977s,PASSED
,,,,,,
Test Cases/01_Member/Login Mobile,Chrome 65.0.3302.0,,2018-10-11 11:01:05,2018-10-11 11:01:24,19.272s,PASSED
openBrowser,Chrome 65.0.3302.0,,2018-10-11 11:01:05,2018-10-11 11:01:09,3.480s,PASSED
navigateToUrl,Chrome 65.0.3302.0,,2018-10-11 11:01:09,2018-10-11 11:01:11,1.678s,PASSED
setText,Chrome 65.0.3302.0,,2018-10-11 11:01:11,2018-10-11 11:01:11,0.234s,PASSED
setText,Chrome 65.0.3302.0,,2018-10-11 11:01:11,2018-10-11 11:01:11,0.141s,PASSED
click,Chrome 65.0.3302.0,,2018-10-11 11:01:11,2018-10-11 11:01:12,1.061s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-11 11:01:12,2018-10-11 11:01:14,2.028s,PASSED
navigateToUrl,Chrome 65.0.3302.0,,2018-10-11 11:01:14,2018-10-11 11:01:16,1.716s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-11 11:01:16,2018-10-11 11:01:18,2.003s,PASSED
setText,Chrome 65.0.3302.0,,2018-10-11 11:01:18,2018-10-11 11:01:18,0.186s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-11 11:01:18,2018-10-11 11:01:20,2.002s,PASSED
click,Chrome 65.0.3302.0,,2018-10-11 11:01:20,2018-10-11 11:01:20,0.154s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-11 11:01:20,2018-10-11 11:01:21,1.003s,PASSED
click,Chrome 65.0.3302.0,,2018-10-11 11:01:21,2018-10-11 11:01:21,0.106s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-11 11:01:21,2018-10-11 11:01:22,1.002s,PASSED
click,Chrome 65.0.3302.0,,2018-10-11 11:01:22,2018-10-11 11:01:23,0.944s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-11 11:01:23,2018-10-11 11:01:24,1.005s,PASSED
,,,,,,
Test Cases/02_ChooseMethodPaymentMobilePulsa/TC_08_ChooseMethodPayment_BNI_SMSPayment,Chrome 65.0.3302.0,,2018-10-11 11:01:24,2018-10-11 11:01:26,1.633s,PASSED
click,Chrome 65.0.3302.0,,2018-10-11 11:01:24,2018-10-11 11:01:25,0.112s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-11 11:01:25,2018-10-11 11:01:26,1.002s,PASSED
click,Chrome 65.0.3302.0,,2018-10-11 11:01:26,2018-10-11 11:01:26,0.242s,PASSED
blj.common.report.Autoplaced.AppendToBlanjaAutoplacedReport,Chrome 65.0.3302.0,,2018-10-11 11:01:26,2018-10-11 11:01:26,0.063s,PASSED
,,,,,,
Test Cases/02_ChooseMethodPaymentMobilePulsa/TC_ClickCheckout_GetLastOrderID_ExportTo_Blanja_Autoplaced,Chrome 65.0.3302.0,,2018-10-11 11:01:26,2018-10-11 11:01:29,2.907s,PASSED
click,Chrome 65.0.3302.0,,2018-10-11 11:01:26,2018-10-11 11:01:26,0.193s,PASSED
navigateToUrl,Chrome 65.0.3302.0,,2018-10-11 11:01:26,2018-10-11 11:01:28,1.166s,PASSED
"Statement - orderNumber = "" - "" + com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Member_BlanjaanSaya/Label_FirstOrderNumber))",Chrome 65.0.3302.0,,2018-10-11 11:01:28,2018-10-11 11:01:29,1.164s,PASSED
blj.common.report.Autoplaced.AppendToBlanjaAutoplacedReport,Chrome 65.0.3302.0,,2018-10-11 11:01:29,2018-10-11 11:01:29,0.017s,PASSED
blj.common.report.Autoplaced.AppendToBlanjaAutoplacedReport,Chrome 65.0.3302.0,,2018-10-11 11:01:29,2018-10-11 11:01:29,0.016s,PASSED
