Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_12_Autoplaced_BRI_KartuKreditCicilan,Chrome 65.0.3302.0,,2018-10-11 11:24:57,2018-10-11 11:25:25,28.736s,PASSED
,,,,,,
Test Cases/01_Member/Login Mobile,Chrome 65.0.3302.0,,2018-10-11 11:24:57,2018-10-11 11:25:20,23.386s,PASSED
openBrowser,Chrome 65.0.3302.0,,2018-10-11 11:24:58,2018-10-11 11:25:01,3.589s,PASSED
navigateToUrl,Chrome 65.0.3302.0,,2018-10-11 11:25:01,2018-10-11 11:25:05,3.384s,PASSED
setText,Chrome 65.0.3302.0,,2018-10-11 11:25:05,2018-10-11 11:25:05,0.263s,PASSED
setText,Chrome 65.0.3302.0,,2018-10-11 11:25:05,2018-10-11 11:25:05,0.153s,PASSED
click,Chrome 65.0.3302.0,,2018-10-11 11:25:05,2018-10-11 11:25:09,4.290s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-11 11:25:09,2018-10-11 11:25:11,2.030s,PASSED
navigateToUrl,Chrome 65.0.3302.0,,2018-10-11 11:25:11,2018-10-11 11:25:12,0.926s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-11 11:25:12,2018-10-11 11:25:14,2.004s,PASSED
setText,Chrome 65.0.3302.0,,2018-10-11 11:25:14,2018-10-11 11:25:14,0.183s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-11 11:25:14,2018-10-11 11:25:16,2.003s,PASSED
click,Chrome 65.0.3302.0,,2018-10-11 11:25:16,2018-10-11 11:25:17,0.126s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-11 11:25:17,2018-10-11 11:25:18,1.004s,PASSED
click,Chrome 65.0.3302.0,,2018-10-11 11:25:18,2018-10-11 11:25:18,0.134s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-11 11:25:18,2018-10-11 11:25:19,1.003s,PASSED
click,Chrome 65.0.3302.0,,2018-10-11 11:25:19,2018-10-11 11:25:19,0.720s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-11 11:25:19,2018-10-11 11:25:20,1.003s,PASSED
,,,,,,
Test Cases/02_ChooseMethodPaymentMobilePulsa/TC_12_ChooseMethodPayment_BRI_KartuKreditCicilan,Chrome 65.0.3302.0,,2018-10-11 11:25:20,2018-10-11 11:25:22,1.850s,PASSED
click,Chrome 65.0.3302.0,,2018-10-11 11:25:21,2018-10-11 11:25:21,0.277s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-11 11:25:21,2018-10-11 11:25:22,1.004s,PASSED
click,Chrome 65.0.3302.0,,2018-10-11 11:25:22,2018-10-11 11:25:22,0.225s,PASSED
blj.common.report.Autoplaced.AppendToBlanjaAutoplacedReport,Chrome 65.0.3302.0,,2018-10-11 11:25:22,2018-10-11 11:25:22,0.032s,PASSED
,,,,,,
Test Cases/02_ChooseMethodPaymentMobilePulsa/TC_ClickCheckout_GetLastOrderID_ExportTo_Blanja_Autoplaced,Chrome 65.0.3302.0,,2018-10-11 11:25:22,2018-10-11 11:25:25,2.319s,PASSED
click,Chrome 65.0.3302.0,,2018-10-11 11:25:23,2018-10-11 11:25:23,0.131s,PASSED
navigateToUrl,Chrome 65.0.3302.0,,2018-10-11 11:25:23,2018-10-11 11:25:23,0.603s,PASSED
"Statement - orderNumber = "" - "" + com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Member_BlanjaanSaya/Label_FirstOrderNumber))",Chrome 65.0.3302.0,,2018-10-11 11:25:23,2018-10-11 11:25:25,1.124s,PASSED
blj.common.report.Autoplaced.AppendToBlanjaAutoplacedReport,Chrome 65.0.3302.0,,2018-10-11 11:25:25,2018-10-11 11:25:25,0.010s,PASSED
blj.common.report.Autoplaced.AppendToBlanjaAutoplacedReport,Chrome 65.0.3302.0,,2018-10-11 11:25:25,2018-10-11 11:25:25,0.012s,PASSED
