Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_16_Autoplaced_BCA_KlikBCA,Chrome 65.0.3302.0,,2018-10-11 13:39:51,2018-10-11 13:40:20,29.087s,PASSED
,,,,,,
Test Cases/01_Member/Login Mobile,Chrome 65.0.3302.0,,2018-10-11 13:39:51,2018-10-11 13:40:15,23.206s,PASSED
openBrowser,Chrome 65.0.3302.0,,2018-10-11 13:39:52,2018-10-11 13:39:56,3.558s,PASSED
navigateToUrl,Chrome 65.0.3302.0,,2018-10-11 13:39:56,2018-10-11 13:39:59,3.446s,PASSED
setText,Chrome 65.0.3302.0,,2018-10-11 13:39:59,2018-10-11 13:39:59,0.314s,PASSED
setText,Chrome 65.0.3302.0,,2018-10-11 13:39:59,2018-10-11 13:39:59,0.198s,PASSED
click,Chrome 65.0.3302.0,,2018-10-11 13:39:59,2018-10-11 13:40:01,1.236s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-11 13:40:01,2018-10-11 13:40:03,2.033s,PASSED
navigateToUrl,Chrome 65.0.3302.0,,2018-10-11 13:40:03,2018-10-11 13:40:06,3.197s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-11 13:40:06,2018-10-11 13:40:08,2.005s,PASSED
setText,Chrome 65.0.3302.0,,2018-10-11 13:40:08,2018-10-11 13:40:08,0.255s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-11 13:40:08,2018-10-11 13:40:10,2.007s,PASSED
click,Chrome 65.0.3302.0,,2018-10-11 13:40:10,2018-10-11 13:40:10,0.176s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-11 13:40:10,2018-10-11 13:40:11,1.005s,PASSED
click,Chrome 65.0.3302.0,,2018-10-11 13:40:11,2018-10-11 13:40:12,0.162s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-11 13:40:12,2018-10-11 13:40:13,1.006s,PASSED
click,Chrome 65.0.3302.0,,2018-10-11 13:40:13,2018-10-11 13:40:14,1.054s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-11 13:40:14,2018-10-11 13:40:15,1.004s,PASSED
,,,,,,
Test Cases/02_ChooseMethodPaymentMobilePulsa/TC_16_ChooseMethodPayment_BCA_KlikBCA,Chrome 65.0.3302.0,,2018-10-11 13:40:15,2018-10-11 13:40:17,2.245s,PASSED
click,Chrome 65.0.3302.0,,2018-10-11 13:40:15,2018-10-11 13:40:15,0.114s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-11 13:40:15,2018-10-11 13:40:16,1.004s,PASSED
click,Chrome 65.0.3302.0,,2018-10-11 13:40:16,2018-10-11 13:40:17,0.404s,PASSED
setText,Chrome 65.0.3302.0,,2018-10-11 13:40:17,2018-10-11 13:40:17,0.329s,PASSED
blj.common.report.Autoplaced.AppendToBlanjaAutoplacedReport,Chrome 65.0.3302.0,,2018-10-11 13:40:17,2018-10-11 13:40:17,0.040s,PASSED
,,,,,,
Test Cases/02_ChooseMethodPaymentMobilePulsa/TC_ClickCheckout_GetLastOrderID_ExportTo_Blanja_Autoplaced,Chrome 65.0.3302.0,,2018-10-11 13:40:17,2018-10-11 13:40:19,2.374s,PASSED
click,Chrome 65.0.3302.0,,2018-10-11 13:40:17,2018-10-11 13:40:17,0.214s,PASSED
navigateToUrl,Chrome 65.0.3302.0,,2018-10-11 13:40:17,2018-10-11 13:40:18,0.584s,PASSED
"Statement - orderNumber = "" - "" + com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Member_BlanjaanSaya/Label_FirstOrderNumber))",Chrome 65.0.3302.0,,2018-10-11 13:40:18,2018-10-11 13:40:19,1.192s,PASSED
blj.common.report.Autoplaced.AppendToBlanjaAutoplacedReport,Chrome 65.0.3302.0,,2018-10-11 13:40:19,2018-10-11 13:40:19,0.023s,PASSED
blj.common.report.Autoplaced.AppendToBlanjaAutoplacedReport,Chrome 65.0.3302.0,,2018-10-11 13:40:19,2018-10-11 13:40:19,0.011s,PASSED
