Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_18_Autoplaced_BCA_klikPay,Chrome 65.0.3302.0,,2018-10-11 14:07:46,2018-10-11 14:08:16,29.269s,PASSED
,,,,,,
Test Cases/01_Member/Login Mobile,Chrome 65.0.3302.0,,2018-10-11 14:07:47,2018-10-11 14:08:11,23.747s,PASSED
openBrowser,Chrome 65.0.3302.0,,2018-10-11 14:07:48,2018-10-11 14:07:51,3.683s,PASSED
navigateToUrl,Chrome 65.0.3302.0,,2018-10-11 14:07:51,2018-10-11 14:07:54,2.612s,PASSED
setText,Chrome 65.0.3302.0,,2018-10-11 14:07:54,2018-10-11 14:07:54,0.404s,PASSED
setText,Chrome 65.0.3302.0,,2018-10-11 14:07:54,2018-10-11 14:07:54,0.164s,PASSED
click,Chrome 65.0.3302.0,,2018-10-11 14:07:54,2018-10-11 14:07:59,4.488s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-11 14:07:59,2018-10-11 14:08:01,2.032s,PASSED
navigateToUrl,Chrome 65.0.3302.0,,2018-10-11 14:08:01,2018-10-11 14:08:02,0.833s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-11 14:08:02,2018-10-11 14:08:04,2.007s,PASSED
setText,Chrome 65.0.3302.0,,2018-10-11 14:08:04,2018-10-11 14:08:04,0.286s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-11 14:08:04,2018-10-11 14:08:06,2.004s,PASSED
click,Chrome 65.0.3302.0,,2018-10-11 14:08:06,2018-10-11 14:08:06,0.166s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-11 14:08:06,2018-10-11 14:08:07,1.006s,PASSED
click,Chrome 65.0.3302.0,,2018-10-11 14:08:07,2018-10-11 14:08:07,0.208s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-11 14:08:07,2018-10-11 14:08:08,1.008s,PASSED
click,Chrome 65.0.3302.0,,2018-10-11 14:08:08,2018-10-11 14:08:10,1.146s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-11 14:08:10,2018-10-11 14:08:11,1.005s,PASSED
,,,,,,
Test Cases/02_ChooseMethodPaymentMobilePulsa/TC_18_ChooseMethodPayment_BCA_KlikPay,Chrome 65.0.3302.0,,2018-10-11 14:08:11,2018-10-11 14:08:13,1.859s,PASSED
click,Chrome 65.0.3302.0,,2018-10-11 14:08:11,2018-10-11 14:08:11,0.102s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-11 14:08:11,2018-10-11 14:08:12,1.004s,PASSED
click,Chrome 65.0.3302.0,,2018-10-11 14:08:12,2018-10-11 14:08:12,0.422s,PASSED
blj.common.report.Autoplaced.AppendToBlanjaAutoplacedReport,Chrome 65.0.3302.0,,2018-10-11 14:08:12,2018-10-11 14:08:12,0.043s,PASSED
,,,,,,
Test Cases/02_ChooseMethodPaymentMobilePulsa/TC_ClickCheckout_GetLastOrderID_ExportTo_Blanja_Autoplaced,Chrome 65.0.3302.0,,2018-10-11 14:08:13,2018-10-11 14:08:15,2.409s,PASSED
click,Chrome 65.0.3302.0,,2018-10-11 14:08:13,2018-10-11 14:08:13,0.170s,PASSED
navigateToUrl,Chrome 65.0.3302.0,,2018-10-11 14:08:13,2018-10-11 14:08:14,0.666s,PASSED
"Statement - orderNumber = "" - "" + com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Member_BlanjaanSaya/Label_FirstOrderNumber))",Chrome 65.0.3302.0,,2018-10-11 14:08:14,2018-10-11 14:08:15,1.167s,PASSED
blj.common.report.Autoplaced.AppendToBlanjaAutoplacedReport,Chrome 65.0.3302.0,,2018-10-11 14:08:15,2018-10-11 14:08:15,0.011s,PASSED
blj.common.report.Autoplaced.AppendToBlanjaAutoplacedReport,Chrome 65.0.3302.0,,2018-10-11 14:08:15,2018-10-11 14:08:15,0.010s,PASSED
