Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_21_Autoplaced_KartuKredit,Chrome 65.0.3302.0,,2018-10-11 14:35:36,2018-10-11 14:36:02,25.848s,PASSED
,,,,,,
Test Cases/01_Member/Login Mobile,Chrome 65.0.3302.0,,2018-10-11 14:35:37,2018-10-11 14:35:59,21.817s,PASSED
openBrowser,Chrome 65.0.3302.0,,2018-10-11 14:35:37,2018-10-11 14:35:41,3.256s,PASSED
navigateToUrl,Chrome 65.0.3302.0,,2018-10-11 14:35:41,2018-10-11 14:35:43,2.577s,PASSED
setText,Chrome 65.0.3302.0,,2018-10-11 14:35:43,2018-10-11 14:35:43,0.309s,PASSED
setText,Chrome 65.0.3302.0,,2018-10-11 14:35:43,2018-10-11 14:35:44,0.165s,PASSED
click,Chrome 65.0.3302.0,,2018-10-11 14:35:44,2018-10-11 14:35:45,1.108s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-11 14:35:45,2018-10-11 14:35:47,2.027s,PASSED
navigateToUrl,Chrome 65.0.3302.0,,2018-10-11 14:35:47,2018-10-11 14:35:50,3.145s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-11 14:35:50,2018-10-11 14:35:52,2.004s,PASSED
setText,Chrome 65.0.3302.0,,2018-10-11 14:35:52,2018-10-11 14:35:52,0.201s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-11 14:35:52,2018-10-11 14:35:54,2.005s,PASSED
click,Chrome 65.0.3302.0,,2018-10-11 14:35:54,2018-10-11 14:35:54,0.146s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-11 14:35:54,2018-10-11 14:35:55,1.003s,PASSED
click,Chrome 65.0.3302.0,,2018-10-11 14:35:55,2018-10-11 14:35:55,0.128s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-11 14:35:55,2018-10-11 14:35:56,1.003s,PASSED
click,Chrome 65.0.3302.0,,2018-10-11 14:35:56,2018-10-11 14:35:58,1.213s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-11 14:35:58,2018-10-11 14:35:59,1.002s,PASSED
,,,,,,
Test Cases/02_ChooseMethodPaymentMobilePulsa/TC_21_ChooseMethodPayment_KartuKredit,Chrome 65.0.3302.0,,2018-10-11 14:35:59,2018-10-11 14:35:59,0.531s,PASSED
click,Chrome 65.0.3302.0,,2018-10-11 14:35:59,2018-10-11 14:35:59,0.289s,PASSED
blj.common.report.Autoplaced.AppendToBlanjaAutoplacedReport,Chrome 65.0.3302.0,,2018-10-11 14:35:59,2018-10-11 14:35:59,0.049s,PASSED
,,,,,,
Test Cases/02_ChooseMethodPaymentMobilePulsa/TC_ClickCheckout_GetLastOrderID_ExportTo_Blanja_Autoplaced,Chrome 65.0.3302.0,,2018-10-11 14:35:59,2018-10-11 14:36:01,2.266s,PASSED
click,Chrome 65.0.3302.0,,2018-10-11 14:35:59,2018-10-11 14:36:00,0.156s,PASSED
navigateToUrl,Chrome 65.0.3302.0,,2018-10-11 14:36:00,2018-10-11 14:36:00,0.674s,PASSED
"Statement - orderNumber = "" - "" + com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Member_BlanjaanSaya/Label_FirstOrderNumber))",Chrome 65.0.3302.0,,2018-10-11 14:36:00,2018-10-11 14:36:01,1.169s,PASSED
blj.common.report.Autoplaced.AppendToBlanjaAutoplacedReport,Chrome 65.0.3302.0,,2018-10-11 14:36:01,2018-10-11 14:36:01,0.008s,PASSED
blj.common.report.Autoplaced.AppendToBlanjaAutoplacedReport,Chrome 65.0.3302.0,,2018-10-11 14:36:01,2018-10-11 14:36:01,0.007s,PASSED
