Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_01_Autoplaced_Mandiri_MandiriDebitOnline,Chrome 65.0.3302.0,,2018-10-15 16:26:24,2018-10-15 16:26:49,24.573s,PASSED
,,,,,,
Test Cases/01_Member/Login Mobile,Chrome 65.0.3302.0,,2018-10-15 16:26:24,2018-10-15 16:26:44,19.561s,PASSED
openBrowser,Chrome 65.0.3302.0,,2018-10-15 16:26:25,2018-10-15 16:26:28,3.319s,PASSED
navigateToUrl,Chrome 65.0.3302.0,,2018-10-15 16:26:28,2018-10-15 16:26:29,1.400s,PASSED
setText,Chrome 65.0.3302.0,,2018-10-15 16:26:29,2018-10-15 16:26:30,0.233s,PASSED
setText,Chrome 65.0.3302.0,,2018-10-15 16:26:30,2018-10-15 16:26:30,0.169s,PASSED
click,Chrome 65.0.3302.0,,2018-10-15 16:26:30,2018-10-15 16:26:31,0.989s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-15 16:26:31,2018-10-15 16:26:33,2.031s,PASSED
navigateToUrl,Chrome 65.0.3302.0,,2018-10-15 16:26:33,2018-10-15 16:26:35,2.504s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-15 16:26:35,2018-10-15 16:26:37,2.003s,PASSED
setText,Chrome 65.0.3302.0,,2018-10-15 16:26:37,2018-10-15 16:26:38,0.196s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-15 16:26:38,2018-10-15 16:26:40,2.001s,PASSED
click,Chrome 65.0.3302.0,,2018-10-15 16:26:40,2018-10-15 16:26:40,0.114s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-15 16:26:40,2018-10-15 16:26:41,1.001s,PASSED
click,Chrome 65.0.3302.0,,2018-10-15 16:26:41,2018-10-15 16:26:41,0.123s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-15 16:26:41,2018-10-15 16:26:42,1.003s,PASSED
click,Chrome 65.0.3302.0,,2018-10-15 16:26:42,2018-10-15 16:26:43,1.079s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-15 16:26:43,2018-10-15 16:26:44,1.004s,PASSED
,,,,,,
Test Cases/02_Trade/ChooseMethodPaymentMobilePulsa/TC_01_ChooseMethodPayment_Mandiri_DebitOnline,Chrome 65.0.3302.0,,2018-10-15 16:26:44,2018-10-15 16:26:46,1.675s,PASSED
click,Chrome 65.0.3302.0,,2018-10-15 16:26:44,2018-10-15 16:26:44,0.120s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-15 16:26:44,2018-10-15 16:26:45,1.006s,PASSED
click,Chrome 65.0.3302.0,,2018-10-15 16:26:45,2018-10-15 16:26:46,0.263s,PASSED
blj.common.report.Autoplaced.AppendToBlanjaAutoplacedReport,Chrome 65.0.3302.0,,2018-10-15 16:26:46,2018-10-15 16:26:46,0.036s,PASSED
,,,,,,
Test Cases/02_Trade/ChooseMethodPaymentMobilePulsa/TC_ClickCheckout_GetLastOrderID_ExportTo_Blanja_Autoplaced,Chrome 65.0.3302.0,,2018-10-15 16:26:46,2018-10-15 16:26:48,2.192s,PASSED
click,Chrome 65.0.3302.0,,2018-10-15 16:26:46,2018-10-15 16:26:46,0.168s,PASSED
navigateToUrl,Chrome 65.0.3302.0,,2018-10-15 16:26:46,2018-10-15 16:26:47,0.517s,PASSED
"Statement - orderNumber = "" - "" + com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Member_BlanjaanSaya/Label_FirstOrderNumber))",Chrome 65.0.3302.0,,2018-10-15 16:26:47,2018-10-15 16:26:48,1.155s,PASSED
blj.common.report.Autoplaced.AppendToBlanjaAutoplacedReport,Chrome 65.0.3302.0,,2018-10-15 16:26:48,2018-10-15 16:26:48,0.019s,PASSED
blj.common.report.Autoplaced.AppendToBlanjaAutoplacedReport,Chrome 65.0.3302.0,,2018-10-15 16:26:48,2018-10-15 16:26:48,0.016s,PASSED
