Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_02_Autoplaced_Mandiri_Kartu_KreditCicilan,Chrome 65.0.3302.0,,2018-10-15 16:22:57,2018-10-15 16:23:22,25.684s,PASSED
,,,,,,
Test Cases/01_Member/Login Mobile,Chrome 65.0.3302.0,,2018-10-15 16:22:57,2018-10-15 16:23:18,20.938s,PASSED
openBrowser,Chrome 65.0.3302.0,,2018-10-15 16:22:58,2018-10-15 16:23:01,3.272s,PASSED
navigateToUrl,Chrome 65.0.3302.0,,2018-10-15 16:23:01,2018-10-15 16:23:04,2.789s,PASSED
setText,Chrome 65.0.3302.0,,2018-10-15 16:23:04,2018-10-15 16:23:04,0.223s,PASSED
setText,Chrome 65.0.3302.0,,2018-10-15 16:23:04,2018-10-15 16:23:04,0.147s,PASSED
click,Chrome 65.0.3302.0,,2018-10-15 16:23:04,2018-10-15 16:23:05,1.226s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-15 16:23:05,2018-10-15 16:23:07,2.035s,PASSED
navigateToUrl,Chrome 65.0.3302.0,,2018-10-15 16:23:07,2018-10-15 16:23:10,2.508s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-15 16:23:10,2018-10-15 16:23:12,2.003s,PASSED
setText,Chrome 65.0.3302.0,,2018-10-15 16:23:12,2018-10-15 16:23:12,0.191s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-15 16:23:12,2018-10-15 16:23:14,2.004s,PASSED
click,Chrome 65.0.3302.0,,2018-10-15 16:23:14,2018-10-15 16:23:14,0.136s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-15 16:23:14,2018-10-15 16:23:15,1.003s,PASSED
click,Chrome 65.0.3302.0,,2018-10-15 16:23:15,2018-10-15 16:23:15,0.119s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-15 16:23:15,2018-10-15 16:23:16,1.004s,PASSED
click,Chrome 65.0.3302.0,,2018-10-15 16:23:16,2018-10-15 16:23:17,0.880s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-15 16:23:17,2018-10-15 16:23:18,1.002s,PASSED
,,,,,,
Test Cases/02_Trade/ChooseMethodPaymentMobilePulsa/TC_02_ChooseMethodPayment_Mandiri_Kartu_KreditCicilan,Chrome 65.0.3302.0,,2018-10-15 16:23:18,2018-10-15 16:23:20,1.578s,PASSED
click,Chrome 65.0.3302.0,,2018-10-15 16:23:18,2018-10-15 16:23:18,0.125s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-15 16:23:18,2018-10-15 16:23:19,1.006s,PASSED
click,Chrome 65.0.3302.0,,2018-10-15 16:23:19,2018-10-15 16:23:20,0.217s,PASSED
blj.common.report.Autoplaced.AppendToBlanjaAutoplacedReport,Chrome 65.0.3302.0,,2018-10-15 16:23:20,2018-10-15 16:23:20,0.029s,PASSED
,,,,,,
Test Cases/02_Trade/ChooseMethodPaymentMobilePulsa/TC_ClickCheckout_GetLastOrderID_ExportTo_Blanja_Autoplaced,Chrome 65.0.3302.0,,2018-10-15 16:23:20,2018-10-15 16:23:22,2.019s,PASSED
click,Chrome 65.0.3302.0,,2018-10-15 16:23:20,2018-10-15 16:23:20,0.144s,PASSED
navigateToUrl,Chrome 65.0.3302.0,,2018-10-15 16:23:20,2018-10-15 16:23:21,0.523s,PASSED
"Statement - orderNumber = "" - "" + com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Member_BlanjaanSaya/Label_FirstOrderNumber))",Chrome 65.0.3302.0,,2018-10-15 16:23:21,2018-10-15 16:23:22,1.122s,PASSED
blj.common.report.Autoplaced.AppendToBlanjaAutoplacedReport,Chrome 65.0.3302.0,,2018-10-15 16:23:22,2018-10-15 16:23:22,0.007s,PASSED
blj.common.report.Autoplaced.AppendToBlanjaAutoplacedReport,Chrome 65.0.3302.0,,2018-10-15 16:23:22,2018-10-15 16:23:22,0.007s,PASSED
