Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_03_Autoplaced_Mandiri_Kartu_KreditCicilan,Chrome 65.0.3302.0,,2018-10-16 15:09:39,2018-10-16 15:10:14,35.360s,FAILED
,,,,,,
Test Cases/01_Member/Login_Reguler,Chrome 65.0.3302.0,,2018-10-16 15:09:39,2018-10-16 15:09:47,8.530s,PASSED
openBrowser,Chrome 65.0.3302.0,,2018-10-16 15:09:39,2018-10-16 15:09:43,3.255s,PASSED
navigateToUrl,Chrome 65.0.3302.0,,2018-10-16 15:09:43,2018-10-16 15:09:44,1.523s,PASSED
setText,Chrome 65.0.3302.0,,2018-10-16 15:09:44,2018-10-16 15:09:44,0.213s,PASSED
setText,Chrome 65.0.3302.0,,2018-10-16 15:09:44,2018-10-16 15:09:44,0.151s,PASSED
click,Chrome 65.0.3302.0,,2018-10-16 15:09:44,2018-10-16 15:09:45,1.014s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-16 15:09:45,2018-10-16 15:09:47,2.031s,PASSED
,,,,,,
Test Cases/02_PDP/PDP_Reguler_KreditCicilan,Chrome 65.0.3302.0,,2018-10-16 15:09:47,2018-10-16 15:10:02,14.152s,PASSED
navigateToUrl,Chrome 65.0.3302.0,,2018-10-16 15:09:48,2018-10-16 15:09:50,2.426s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-16 15:09:50,2018-10-16 15:09:52,2.005s,PASSED
click,Chrome 65.0.3302.0,,2018-10-16 15:09:52,2018-10-16 15:09:52,0.116s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-16 15:09:52,2018-10-16 15:09:54,2.003s,PASSED
click,Chrome 65.0.3302.0,,2018-10-16 15:09:54,2018-10-16 15:09:54,0.132s,PASSED
sendKeys,Chrome 65.0.3302.0,,2018-10-16 15:09:54,2018-10-16 15:09:55,0.080s,PASSED
setText,Chrome 65.0.3302.0,,2018-10-16 15:09:55,2018-10-16 15:09:55,0.101s,PASSED
click,Chrome 65.0.3302.0,,2018-10-16 15:09:55,2018-10-16 15:09:55,0.102s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-16 15:09:55,2018-10-16 15:09:57,2.004s,PASSED
click,Chrome 65.0.3302.0,,2018-10-16 15:09:57,2018-10-16 15:09:58,1.032s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-16 15:09:58,2018-10-16 15:10:00,2.006s,PASSED
click,Chrome 65.0.3302.0,,2018-10-16 15:10:00,2018-10-16 15:10:02,1.795s,PASSED
,,,,,,
Test Cases/03_Trade/ChooseMethodPaymentMobileReguler/TC_03_ChooseMethodPayment_Mandiri_Kartu_KreditCicilan,Chrome 65.0.3302.0,,2018-10-16 15:10:02,2018-10-16 15:10:11,8.875s,FAILED
click,Chrome 65.0.3302.0,,2018-10-16 15:10:02,2018-10-16 15:10:02,0.130s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-16 15:10:02,2018-10-16 15:10:04,2.004s,PASSED
click,Chrome 65.0.3302.0,,2018-10-16 15:10:04,2018-10-16 15:10:04,0.148s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-16 15:10:04,2018-10-16 15:10:05,1.004s,PASSED
click,Chrome 65.0.3302.0,,2018-10-16 15:10:05,2018-10-16 15:10:05,0.143s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-16 15:10:05,2018-10-16 15:10:07,2.005s,PASSED
click,Chrome 65.0.3302.0,,2018-10-16 15:10:07,2018-10-16 15:10:07,0.157s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-16 15:10:07,2018-10-16 15:10:09,2.005s,PASSED
selectOptionByIndex,Chrome 65.0.3302.0,,2018-10-16 15:10:09,2018-10-16 15:10:10,1.058s,FAILED
,,,,,,
Test Cases/03_Trade/ChooseMethodPaymentMobileReguler/TC_ClickCheckout_GetLastOrderID_ExportTo_Blanja_Autoplaced,Chrome 65.0.3302.0,,2018-10-16 15:10:11,2018-10-16 15:10:13,2.656s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-16 15:10:11,2018-10-16 15:10:12,1.002s,PASSED
click,Chrome 65.0.3302.0,,2018-10-16 15:10:12,2018-10-16 15:10:12,0.119s,PASSED
navigateToUrl,Chrome 65.0.3302.0,,2018-10-16 15:10:12,2018-10-16 15:10:12,0.651s,PASSED
"Statement - orderNumber = "" - "" + com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Member_BlanjaanSaya/Label_FirstOrderNumber))",Chrome 65.0.3302.0,,2018-10-16 15:10:12,2018-10-16 15:10:13,0.683s,PASSED
blj.common.report.Autoplaced.AppendToBlanjaAutoplacedReport,Chrome 65.0.3302.0,,2018-10-16 15:10:13,2018-10-16 15:10:13,0.016s,PASSED
blj.common.report.Autoplaced.AppendToBlanjaAutoplacedReport,Chrome 65.0.3302.0,,2018-10-16 15:10:13,2018-10-16 15:10:13,0.001s,PASSED
