Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_11_Autoplaced_BRI_BankTransfer,Chrome 65.0.3302.0,,2018-10-16 10:50:45,2018-10-16 10:51:27,41.939s,PASSED
,,,,,,
Test Cases/01_Member/Login_Reguler,Chrome 65.0.3302.0,,2018-10-16 10:50:45,2018-10-16 10:50:56,11.214s,PASSED
openBrowser,Chrome 65.0.3302.0,,2018-10-16 10:50:46,2018-10-16 10:50:49,3.634s,PASSED
navigateToUrl,Chrome 65.0.3302.0,,2018-10-16 10:50:49,2018-10-16 10:50:53,3.433s,PASSED
setText,Chrome 65.0.3302.0,,2018-10-16 10:50:53,2018-10-16 10:50:53,0.272s,PASSED
setText,Chrome 65.0.3302.0,,2018-10-16 10:50:53,2018-10-16 10:50:53,0.170s,PASSED
click,Chrome 65.0.3302.0,,2018-10-16 10:50:53,2018-10-16 10:50:54,1.207s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-16 10:50:54,2018-10-16 10:50:56,2.030s,PASSED
,,,,,,
Test Cases/02_PDP/PDP_Reguler,Chrome 65.0.3302.0,,2018-10-16 10:50:56,2018-10-16 10:51:18,22.129s,PASSED
navigateToUrl,Chrome 65.0.3302.0,,2018-10-16 10:50:57,2018-10-16 10:51:02,5.252s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-16 10:51:02,2018-10-16 10:51:04,2.009s,PASSED
click,Chrome 65.0.3302.0,,2018-10-16 10:51:04,2018-10-16 10:51:04,0.177s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-16 10:51:04,2018-10-16 10:51:06,2.005s,PASSED
click,Chrome 65.0.3302.0,,2018-10-16 10:51:06,2018-10-16 10:51:06,0.243s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-16 10:51:06,2018-10-16 10:51:08,2.005s,PASSED
click,Chrome 65.0.3302.0,,2018-10-16 10:51:08,2018-10-16 10:51:11,3.245s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-16 10:51:11,2018-10-16 10:51:13,2.004s,PASSED
click,Chrome 65.0.3302.0,,2018-10-16 10:51:13,2018-10-16 10:51:18,4.931s,PASSED
,,,,,,
Test Cases/03_Trade/ChooseMethodPaymentMobileReguler/TC_11_ChooseMethodPayment_BRI_BankTransfer,Chrome 65.0.3302.0,,2018-10-16 10:51:18,2018-10-16 10:51:23,4.239s,PASSED
click,Chrome 65.0.3302.0,,2018-10-16 10:51:19,2018-10-16 10:51:19,0.137s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-16 10:51:19,2018-10-16 10:51:20,1.005s,PASSED
click,Chrome 65.0.3302.0,,2018-10-16 10:51:20,2018-10-16 10:51:20,0.181s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-16 10:51:20,2018-10-16 10:51:21,1.005s,PASSED
click,Chrome 65.0.3302.0,,2018-10-16 10:51:21,2018-10-16 10:51:21,0.286s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-16 10:51:21,2018-10-16 10:51:22,1.006s,PASSED
click,Chrome 65.0.3302.0,,2018-10-16 10:51:22,2018-10-16 10:51:23,0.261s,PASSED
blj.common.report.Autoplaced.AppendToBlanjaAutoplacedReport,Chrome 65.0.3302.0,,2018-10-16 10:51:23,2018-10-16 10:51:23,0.045s,PASSED
,,,,,,
Test Cases/03_Trade/ChooseMethodPaymentMobileReguler/TC_ClickCheckout_GetLastOrderID_ExportTo_Blanja_Autoplaced,Chrome 65.0.3302.0,,2018-10-16 10:51:23,2018-10-16 10:51:26,3.139s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-16 10:51:23,2018-10-16 10:51:24,1.013s,PASSED
click,Chrome 65.0.3302.0,,2018-10-16 10:51:24,2018-10-16 10:51:24,0.178s,PASSED
navigateToUrl,Chrome 65.0.3302.0,,2018-10-16 10:51:24,2018-10-16 10:51:25,0.700s,PASSED
"Statement - orderNumber = "" - "" + com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Member_BlanjaanSaya/Label_FirstOrderNumber))",Chrome 65.0.3302.0,,2018-10-16 10:51:25,2018-10-16 10:51:26,0.825s,PASSED
blj.common.report.Autoplaced.AppendToBlanjaAutoplacedReport,Chrome 65.0.3302.0,,2018-10-16 10:51:26,2018-10-16 10:51:26,0.003s,PASSED
blj.common.report.Autoplaced.AppendToBlanjaAutoplacedReport,Chrome 65.0.3302.0,,2018-10-16 10:51:26,2018-10-16 10:51:26,0.015s,PASSED
