Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_12_Autoplaced_BRI_e-PayBRI,Chrome 65.0.3302.0,,2018-10-16 16:11:41,2018-10-16 16:12:10,29.143s,FAILED
,,,,,,
Test Cases/01_Member/Login_Reguler,Chrome 65.0.3302.0,,2018-10-16 16:11:42,2018-10-16 16:11:50,8.733s,PASSED
openBrowser,Chrome 65.0.3302.0,,2018-10-16 16:11:42,2018-10-16 16:11:45,3.250s,PASSED
navigateToUrl,Chrome 65.0.3302.0,,2018-10-16 16:11:45,2018-10-16 16:11:47,1.784s,PASSED
setText,Chrome 65.0.3302.0,,2018-10-16 16:11:47,2018-10-16 16:11:47,0.200s,PASSED
setText,Chrome 65.0.3302.0,,2018-10-16 16:11:47,2018-10-16 16:11:47,0.145s,PASSED
click,Chrome 65.0.3302.0,,2018-10-16 16:11:47,2018-10-16 16:11:48,0.988s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-16 16:11:48,2018-10-16 16:11:50,2.025s,PASSED
,,,,,,
Test Cases/02_PDP/PDP_Reguler,Chrome 65.0.3302.0,,2018-10-16 16:11:50,2018-10-16 16:12:05,14.492s,PASSED
navigateToUrl,Chrome 65.0.3302.0,,2018-10-16 16:11:51,2018-10-16 16:11:53,2.589s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-16 16:11:53,2018-10-16 16:11:55,2.003s,PASSED
click,Chrome 65.0.3302.0,,2018-10-16 16:11:55,2018-10-16 16:11:55,0.097s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-16 16:11:55,2018-10-16 16:11:57,2.002s,PASSED
click,Chrome 65.0.3302.0,,2018-10-16 16:11:57,2018-10-16 16:11:57,0.131s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-16 16:11:57,2018-10-16 16:11:59,2.003s,PASSED
click,Chrome 65.0.3302.0,,2018-10-16 16:11:59,2018-10-16 16:12:01,1.630s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-16 16:12:01,2018-10-16 16:12:03,2.004s,PASSED
click,Chrome 65.0.3302.0,,2018-10-16 16:12:03,2018-10-16 16:12:05,1.809s,PASSED
,,,,,,
Test Cases/03_Trade/ChooseMethodPaymentMobileReguler/TC_12_ChooseMethodPayment_BRI_e-PayBRI,Chrome 65.0.3302.0,,2018-10-16 16:12:05,2018-10-16 16:12:06,1.456s,FAILED
selectOptionByLabel,Chrome 65.0.3302.0,,2018-10-16 16:12:05,2018-10-16 16:12:05,0.161s,PASSED
click,Chrome 65.0.3302.0,,2018-10-16 16:12:05,2018-10-16 16:12:06,1.113s,FAILED
,,,,,,
Test Cases/03_Trade/ChooseMethodPaymentMobileReguler/TC_ClickCheckout_GetLastOrderID_ExportTo_Blanja_Autoplaced,Chrome 65.0.3302.0,,2018-10-16 16:12:06,2018-10-16 16:12:10,3.349s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-16 16:12:07,2018-10-16 16:12:08,1.005s,PASSED
click,Chrome 65.0.3302.0,,2018-10-16 16:12:08,2018-10-16 16:12:08,0.129s,PASSED
navigateToUrl,Chrome 65.0.3302.0,,2018-10-16 16:12:08,2018-10-16 16:12:09,0.902s,PASSED
"Statement - orderNumber = "" - "" + com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Member_BlanjaanSaya/Label_FirstOrderNumber))",Chrome 65.0.3302.0,,2018-10-16 16:12:09,2018-10-16 16:12:10,1.122s,PASSED
blj.common.report.Autoplaced.AppendToBlanjaAutoplacedReport,Chrome 65.0.3302.0,,2018-10-16 16:12:10,2018-10-16 16:12:10,0.016s,PASSED
blj.common.report.Autoplaced.AppendToBlanjaAutoplacedReport,Chrome 65.0.3302.0,,2018-10-16 16:12:10,2018-10-16 16:12:10,0.001s,PASSED
