Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_15_Autoplaced_BTN_BankTransfer,Chrome 65.0.3302.0,,2018-10-16 11:19:12,2018-10-16 11:19:47,34.875s,PASSED
,,,,,,
Test Cases/01_Member/Login_Reguler,Chrome 65.0.3302.0,,2018-10-16 11:19:12,2018-10-16 11:19:26,14.055s,PASSED
openBrowser,Chrome 65.0.3302.0,,2018-10-16 11:19:13,2018-10-16 11:19:16,3.383s,PASSED
navigateToUrl,Chrome 65.0.3302.0,,2018-10-16 11:19:16,2018-10-16 11:19:19,3.228s,PASSED
setText,Chrome 65.0.3302.0,,2018-10-16 11:19:19,2018-10-16 11:19:20,0.222s,PASSED
setText,Chrome 65.0.3302.0,,2018-10-16 11:19:20,2018-10-16 11:19:20,0.139s,PASSED
click,Chrome 65.0.3302.0,,2018-10-16 11:19:20,2018-10-16 11:19:24,4.602s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-16 11:19:24,2018-10-16 11:19:26,2.028s,PASSED
,,,,,,
Test Cases/02_PDP/PDP_Reguler,Chrome 65.0.3302.0,,2018-10-16 11:19:26,2018-10-16 11:19:39,12.719s,PASSED
navigateToUrl,Chrome 65.0.3302.0,,2018-10-16 11:19:26,2018-10-16 11:19:28,1.479s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-16 11:19:28,2018-10-16 11:19:30,2.006s,PASSED
click,Chrome 65.0.3302.0,,2018-10-16 11:19:30,2018-10-16 11:19:30,0.104s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-16 11:19:30,2018-10-16 11:19:32,2.004s,PASSED
click,Chrome 65.0.3302.0,,2018-10-16 11:19:32,2018-10-16 11:19:32,0.135s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-16 11:19:32,2018-10-16 11:19:34,2.004s,PASSED
click,Chrome 65.0.3302.0,,2018-10-16 11:19:34,2018-10-16 11:19:35,0.992s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-16 11:19:35,2018-10-16 11:19:37,2.005s,PASSED
click,Chrome 65.0.3302.0,,2018-10-16 11:19:37,2018-10-16 11:19:39,1.789s,PASSED
,,,,,,
Test Cases/03_Trade/ChooseMethodPaymentMobileReguler/TC_15_ChooseMethodPayment_BTN_BankTransfer,Chrome 65.0.3302.0,,2018-10-16 11:19:39,2018-10-16 11:19:43,3.808s,PASSED
click,Chrome 65.0.3302.0,,2018-10-16 11:19:39,2018-10-16 11:19:39,0.131s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-16 11:19:39,2018-10-16 11:19:40,1.005s,PASSED
click,Chrome 65.0.3302.0,,2018-10-16 11:19:40,2018-10-16 11:19:41,0.128s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-16 11:19:41,2018-10-16 11:19:42,1.004s,PASSED
click,Chrome 65.0.3302.0,,2018-10-16 11:19:42,2018-10-16 11:19:42,0.159s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-16 11:19:42,2018-10-16 11:19:43,1.002s,PASSED
click,Chrome 65.0.3302.0,,2018-10-16 11:19:43,2018-10-16 11:19:43,0.120s,PASSED
blj.common.report.Autoplaced.AppendToBlanjaAutoplacedReport,Chrome 65.0.3302.0,,2018-10-16 11:19:43,2018-10-16 11:19:43,0.033s,PASSED
,,,,,,
Test Cases/03_Trade/ChooseMethodPaymentMobileReguler/TC_ClickCheckout_GetLastOrderID_ExportTo_Blanja_Autoplaced,Chrome 65.0.3302.0,,2018-10-16 11:19:43,2018-10-16 11:19:46,2.921s,PASSED
delay,Chrome 65.0.3302.0,,2018-10-16 11:19:43,2018-10-16 11:19:44,1.004s,PASSED
click,Chrome 65.0.3302.0,,2018-10-16 11:19:44,2018-10-16 11:19:44,0.130s,PASSED
navigateToUrl,Chrome 65.0.3302.0,,2018-10-16 11:19:44,2018-10-16 11:19:45,0.454s,PASSED
"Statement - orderNumber = "" - "" + com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Member_BlanjaanSaya/Label_FirstOrderNumber))",Chrome 65.0.3302.0,,2018-10-16 11:19:45,2018-10-16 11:19:46,1.135s,PASSED
blj.common.report.Autoplaced.AppendToBlanjaAutoplacedReport,Chrome 65.0.3302.0,,2018-10-16 11:19:46,2018-10-16 11:19:46,0.009s,PASSED
blj.common.report.Autoplaced.AppendToBlanjaAutoplacedReport,Chrome 65.0.3302.0,,2018-10-16 11:19:46,2018-10-16 11:19:46,0.007s,PASSED
